coauthor_id,media_id,coauthor_user_id
3484476083487786753_787132_23947096,3484476083487786753_787132,23947096
3476295264112125543_787132_4721025,3476295264112125543_787132,4721025
3476295264112125543_787132_18091046,3476295264112125543_787132,18091046
3476295264112125543_787132_414805671,3476295264112125543_787132,414805671
3500756804230166641_787132_4757225830,3500756804230166641_787132,4757225830
3500756804230166641_787132_2237818641,3500756804230166641_787132,2237818641
3499998920483829543_23947096_787132,3499998920483829543_23947096,787132
3499998920483829543_23947096_414805671,3499998920483829543_23947096,414805671
3499998920483829543_23947096_18091046,3499998920483829543_23947096,18091046
3498519150596207655_787132_1389225126,3498519150596207655_787132,1389225126
3495589877824934155_1029649300_18091046,3495589877824934155_1029649300,18091046
3495589877824934155_1029649300_787132,3495589877824934155_1029649300,787132
3494774472336048424_787132_18091046,3494774472336048424_787132,18091046
3494774472336048424_787132_1029649300,3494774472336048424_787132,1029649300
3493445757371732988_787132_1029649300,3493445757371732988_787132,1029649300
3486086032081143057_528817151_65495240044,3486086032081143057_528817151,65495240044
3485341701590384051_528817151_549313808,3485341701590384051_528817151,549313808
3478984639679746444_528817151_1611722079,3478984639679746444_528817151,1611722079
3478984639679746444_528817151_582986390,3478984639679746444_528817151,582986390
3478984639679746444_528817151_549403870,3478984639679746444_528817151,549403870
3475270046927148526_528817151_8328756214,3475270046927148526_528817151,8328756214
3471594329400104832_528817151_549313808,3471594329400104832_528817151,549313808
3465709122941762200_497784956_3139497107,3465709122941762200_497784956,3139497107
3443444594514571265_374099_497784956,3443444594514571265_374099,497784956
3437513524545593399_374099_497784956,3437513524545593399_374099,497784956
3397761350280603516_374099_497784956,3397761350280603516_374099,497784956
3389017820301245762_497784956_3139497107,3389017820301245762_497784956,3139497107
3362234235526021753_374099_497784956,3362234235526021753_374099,497784956
3338949310882252388_374099_497784956,3338949310882252388_374099,497784956
3315834731345899976_374099_497784956,3315834731345899976_374099,497784956
3500699574841399193_296854237_3888474037,3500699574841399193_296854237,3888474037
3488979322692933521_1199889538_67812400527,3488979322692933521_1199889538,67812400527
3470661288399855862_1406250255_337190239,3470661288399855862_1406250255,337190239
3460655535293500002_6170238102_337190239,3460655535293500002_6170238102,337190239
3456901454579268051_337190239_1406250255,3456901454579268051_337190239,1406250255
3454708936076818571_337190239_1406250255,3454708936076818571_337190239,1406250255
3454043799724646364_337190239_1406250255,3454043799724646364_337190239,1406250255
3501428354228934455_1991212996_1525639991,3501428354228934455_1991212996,1525639991
3500076582889196031_7863651643_1525639991,3500076582889196031_7863651643,1525639991
3499968963742687342_1991212996_1525639991,3499968963742687342_1991212996,1525639991
3498422416542378302_7863651643_1525639991,3498422416542378302_7863651643,1525639991
3500784338927097296_305587355_13627663857,3500784338927097296_305587355,13627663857
3499958687522056216_305587355_8118023228,3499958687522056216_305587355,8118023228
3499303685195418658_305587355_15987637142,3499303685195418658_305587355,15987637142
3494229245231339337_305587355_8118023228,3494229245231339337_305587355,8118023228
3489786712379918928_305587355_53556638496,3489786712379918928_305587355,53556638496
3489159391092467657_305587355_52535093526,3489159391092467657_305587355,52535093526
3460844773677335807_10485911912_2035545178,3460844773677335807_10485911912,2035545178
3387642006073915509_1770755588_1759374903,3387642006073915509_1770755588,1759374903
3384072594464820728_1770755588_1759374903,3384072594464820728_1770755588,1759374903
3375106631510131449_1770755588_1759374903,3375106631510131449_1770755588,1759374903
3465043531423203956_1725774238_5896342883,3465043531423203956_1725774238,5896342883
3465043531423203956_1725774238_17927018496,3465043531423203956_1725774238,17927018496
3464827369980988041_6415272350_5896342883,3464827369980988041_6415272350,5896342883
3463699823347651884_17927018496_5896342883,3463699823347651884_17927018496,5896342883
3460678446915252970_17927018496_5896342883,3460678446915252970_17927018496,5896342883
3459843211612912492_1579754256_5896342883,3459843211612912492_1579754256,5896342883
3450482320408760607_17927018496_5896342883,3450482320408760607_17927018496,5896342883
3445542240695809238_17927018496_5896342883,3445542240695809238_17927018496,5896342883
3435542376191618793_17927018496_5896342883,3435542376191618793_17927018496,5896342883
3428299959084688636_17927018496_5896342883,3428299959084688636_17927018496,5896342883
3418828333792972764_5896342883_3285920254,3418828333792972764_5896342883,3285920254
3359866638428721245_5896342883_309636540,3359866638428721245_5896342883,309636540
3359866638428721245_5896342883_17927018496,3359866638428721245_5896342883,17927018496
3354012377946719283_7327794192_5896342883,3354012377946719283_7327794192,5896342883
3349271946095718683_23509190_5896342883,3349271946095718683_23509190,5896342883
3346104494865046894_7327794192_5896342883,3346104494865046894_7327794192,5896342883
3346104494865046894_7327794192_6026604892,3346104494865046894_7327794192,6026604892
3346104494865046894_7327794192_26532252461,3346104494865046894_7327794192,26532252461
3284437165600742462_9021637651_5896342883,3284437165600742462_9021637651,5896342883
3281554957558111292_9021637651_5896342883,3281554957558111292_9021637651,5896342883
3279504075091540558_9021637651_5896342883,3279504075091540558_9021637651,5896342883
3489280539016762452_241291909_2876710922,3489280539016762452_241291909,2876710922
3486957068094271218_241291909_2876710922,3486957068094271218_241291909,2876710922
3471818270036685267_241291909_2876710922,3471818270036685267_241291909,2876710922
3424633649525116669_241291909_2876710922,3424633649525116669_241291909,2876710922
3479673027640615351_1418658812_4266685652,3479673027640615351_1418658812,4266685652
